Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Doncaster,Yes,Saturday,Very Convenient,More than 1 hour,More than 6 times,Yes,3,8,9,10,8,Way too cold,Disagree,10,5,Yes,Yes,8,9,4,9,No,No,NA,NA
Airport West,No,Wednesday,Convenient,Less than 30 minutes,2-3 times,NA,5,9,1,9,4,A little cool,Neither agree nor disagree,10,8,Yes,Yes,3,5,8,4,Yes,Yes,James Murphy,James.Murphy@optusnet.com.au
Doncaster,Yes,Thursday,Very Convenient,Less than 30 minutes,Once,Yes,10,3,10,4,4,Just right,Neither agree nor disagree,10,9,No,No,NA,NA,NA,6,Yes,No,NA,NA
Launceston,No,Tuesday,Very Convenient,More than 1 hour,Once,NA,4,4,8,2,10,A little warm,Agree,8,5,No,Yes,0,9,9,0,No,Yes,Lily Turner,Lily.Turner@bigpond.com
Rosebud,No,Monday,Indifferent,More than 1 hour,Once,NA,0,8,0,7,0,Way too hot,Disagree,0,7,Yes,Yes,5,0,4,9,Yes,Yes,Liam Young,Liam.Young@mail.com
Eastlands,Yes,Wednesday,Very Inconvenient,Less than 30 minutes,4-6 times,NA,6,10,2,10,7,Way too cold,Strongly disagree,6,10,Yes,No,NA,NA,NA,8,Yes,Yes,Isabelle Perez,Isabelle.Perez@msn.com
Hobart,No,Saturday,Very Convenient,Less than 10 minutes,More than 6 times,Yes,9,10,4,1,10,A little cool,Neither agree nor disagree,7,7,Yes,Yes,1,1,6,9,Yes,No,NA,NA
Geelong,Yes,Tuesday,Convenient,Less than 1 hour,2-3 times,No,2,7,6,4,7,Way too hot,Strongly agree,6,2,No,Yes,2,10,7,4,Yes,Yes,Benjamin Phillips,Benjamin.Phillips@msn.com
Shepparton,No,Monday,Indifferent,Less than 30 minutes,2-3 times,NA,1,5,0,7,5,Way too cold,Strongly agree,10,6,No,Yes,5,10,8,6,No,Yes,Sarah Nelson,Sarah.Nelson@yahoo.com.au
Shepparton,Yes,Friday,Very Inconvenient,Less than 1 hour,Once,NA,2,4,2,5,5,A little warm,Disagree,9,0,Yes,Yes,1,3,1,6,No,Yes,Abigail Turner,Abigail.Turner@gmail.com
Southland,Yes,Friday,Inconvient,Less than 10 minutes,More than 6 times,Yes,5,2,10,3,4,A little warm,Disagree,10,8,Yes,Yes,1,4,1,7,Yes,No,NA,NA
Werribee,No,Saturday,Very Inconvenient,Less than 30 minutes,2-3 times,Yes,3,8,3,10,8,Just right,Disagree,8,4,No,Yes,3,10,10,5,No,Yes,Muhammad Hall,Muhammad.Hall@outlook.com
Airport West,No,Monday,Indifferent,More than 1 hour,Once,NA,6,4,0,6,7,Way too cold,Disagree,5,0,No,No,NA,NA,NA,5,No,Yes,Aaliyah Ryan,Aaliyah.Ryan@optusnet.com.au
Warragul,Yes,Sunday,Inconvient,Less than 1 hour,2-3 times,NA,3,3,5,9,3,Way too hot,Neither agree nor disagree,7,0,No,Yes,7,0,4,1,No,Yes,Caden Jones,Caden.Jones@msn.com
Albury,Yes,Monday,Convenient,Less than 30 minutes,4-6 times,No,1,0,4,0,3,Just right,Strongly disagree,6,3,No,Yes,9,8,10,10,No,Yes,Mila Clark,Mila.Clark@bigpond.net.au
Jam Factory,No,Thursday,Inconvient,More than 1 hour,Once,Yes,5,9,6,4,0,A little warm,Neither agree nor disagree,9,1,No,Yes,5,6,8,9,Yes,Yes,Ava Zhang,Ava.Zhang@msn.com
Sunshine,Yes,Tuesday,Inconvient,Less than 30 minutes,More than 6 times,Yes,0,1,6,6,10,A little warm,Neither agree nor disagree,9,10,No,No,NA,NA,NA,7,Yes,Yes,Ava Wright,Ava.Wright@live.com.au
Warragul,No,Wednesday,Convenient,Less than 30 minutes,More than 6 times,NA,0,0,9,1,4,Way too hot,Strongly disagree,9,7,No,No,NA,NA,NA,1,Yes,Yes,Arianna Li,Arianna.Li@bigpond.com
Geelong,Yes,Friday,Convenient,Less than 10 minutes,More than 6 times,Yes,6,7,8,0,7,A little warm,Neither agree nor disagree,8,5,No,Yes,3,4,3,0,No,No,NA,NA
Rosebud,No,Wednesday,Inconvient,Less than 30 minutes,Once,NA,2,9,4,9,2,A little cool,Neither agree nor disagree,6,7,No,No,NA,NA,NA,9,No,Yes,Caden Allen,Caden.Allen@live.com.au
Hobart,No,Wednesday,Inconvient,More than 1 hour,4-6 times,No,3,6,6,2,10,Just right,Disagree,0,1,No,Yes,4,0,3,3,Yes,Yes,Grayson Jenkins,Grayson.Jenkins@gmail.com
Rosebud,No,Friday,Very Convenient,Less than 10 minutes,4-6 times,NA,0,6,3,10,5,Way too hot,Strongly agree,2,5,Yes,No,NA,NA,NA,3,No,No,NA,NA
Century City,Yes,Sunday,Very Inconvenient,Less than 1 hour,More than 6 times,No,6,9,2,3,9,Just right,Strongly disagree,0,5,No,Yes,4,3,3,6,Yes,No,NA,NA
Doncaster,Yes,Friday,Indifferent,Less than 10 minutes,Once,No,9,2,0,9,5,Just right,Agree,7,1,No,No,NA,NA,NA,1,No,Yes,Luna White,Luna.White@outlook.com
Rivoli,No,Saturday,Convenient,Less than 10 minutes,More than 6 times,Yes,5,7,3,4,2,Just right,Neither agree nor disagree,9,9,Yes,Yes,2,3,2,9,Yes,No,NA,NA
Southland,Yes,Wednesday,Very Convenient,Less than 1 hour,4-6 times,No,8,7,5,1,4,A little warm,Neither agree nor disagree,10,7,No,Yes,4,5,4,1,Yes,No,NA,NA
Karingal,Yes,Tuesday,Very Inconvenient,More than 1 hour,Once,Yes,3,5,6,7,3,A little warm,Agree,7,1,Yes,No,NA,NA,NA,10,Yes,Yes,Emily Robinson,Emily.Robinson@mail.com
Werribee,Yes,Thursday,Very Inconvenient,Less than 10 minutes,4-6 times,No,1,0,9,6,3,Way too hot,Strongly agree,6,10,Yes,No,NA,NA,NA,6,No,Yes,Mason Long,Mason.Long@mailinator.com
Morwell,No,Monday,Very Convenient,Less than 30 minutes,4-6 times,NA,7,9,7,1,7,A little warm,Strongly agree,3,3,Yes,No,NA,NA,NA,10,Yes,Yes,Jackson Stewart,Jackson.Stewart@hotmail.com
Sorrento,Yes,Thursday,Very Inconvenient,More than 1 hour,2-3 times,NA,2,6,10,1,6,A little cool,Strongly disagree,10,8,No,Yes,8,3,6,1,No,No,NA,NA
Coburg Drive-In,No,Wednesday,Very Convenient,Less than 30 minutes,2-3 times,NA,10,10,5,0,7,Way too hot,Neither agree nor disagree,7,2,No,Yes,10,2,5,5,No,No,NA,NA
Southland,Yes,Thursday,Indifferent,Less than 10 minutes,4-6 times,Yes,3,10,4,4,9,Way too hot,Neither agree nor disagree,4,8,No,No,NA,NA,NA,2,No,No,NA,NA
Glenorchy,Yes,Saturday,Very Inconvenient,Less than 1 hour,4-6 times,NA,6,2,10,4,7,Way too hot,Neither agree nor disagree,4,9,No,No,NA,NA,NA,5,No,Yes,Muhammad Sullivan,Muhammad.Sullivan@bigpond.com
Karingal,Yes,Saturday,Indifferent,More than 1 hour,2-3 times,Yes,2,7,4,3,8,Way too hot,Agree,7,3,Yes,No,NA,NA,NA,4,No,Yes,Logan Sullivan,Logan.Sullivan@mail.com
Karingal,Yes,Monday,Convenient,Less than 10 minutes,4-6 times,Yes,3,6,3,5,7,Way too hot,Strongly agree,10,0,No,No,NA,NA,NA,3,No,No,NA,NA
Werribee,No,Monday,Inconvient,Less than 30 minutes,More than 6 times,Yes,7,4,6,4,3,A little warm,Agree,0,9,Yes,No,NA,NA,NA,5,No,No,NA,NA
Fountain Gate,Yes,Thursday,Indifferent,Less than 10 minutes,More than 6 times,No,4,5,5,6,9,Way too hot,Strongly agree,4,6,No,Yes,4,2,8,10,No,No,NA,NA
Jam Factory,Yes,Friday,Very Convenient,Less than 1 hour,Once,No,8,7,9,9,0,Way too cold,Neither agree nor disagree,3,10,Yes,Yes,3,7,1,1,No,Yes,Wyatt Garcia,Wyatt.Garcia@hotmail.com
Century City,Yes,Saturday,Indifferent,Less than 1 hour,Once,No,6,9,10,2,4,Way too hot,Agree,1,4,Yes,Yes,5,1,5,1,No,Yes,Scarlett Ryan,Scarlett.Ryan@bigpond.net.au
Knox,No,Wednesday,Indifferent,Less than 10 minutes,2-3 times,Yes,8,6,1,7,8,A little warm,Strongly agree,0,4,No,Yes,9,8,1,4,No,No,NA,NA
Knox,No,Monday,Indifferent,Less than 10 minutes,Once,No,3,10,2,5,1,Way too cold,Strongly disagree,7,1,No,No,NA,NA,NA,4,No,Yes,Jayce Young,Jayce.Young@mail.com
Sorrento,Yes,Wednesday,Convenient,Less than 30 minutes,4-6 times,NA,1,1,10,1,1,A little cool,Strongly disagree,7,2,No,No,NA,NA,NA,3,Yes,No,NA,NA
Doncaster,No,Tuesday,Indifferent,Less than 10 minutes,4-6 times,No,3,9,10,6,1,Way too hot,Agree,3,3,No,No,NA,NA,NA,7,Yes,Yes,Wyatt Long,Wyatt.Long@bigpond.net.au
Sorrento,Yes,Saturday,Indifferent,Less than 30 minutes,More than 6 times,NA,0,5,2,9,8,Way too cold,Strongly disagree,9,1,Yes,No,NA,NA,NA,0,Yes,Yes,Aubrey Ryan,Aubrey.Ryan@mailinator.com
Werribee,No,Tuesday,Indifferent,Less than 10 minutes,4-6 times,No,5,1,8,1,8,A little cool,Neither agree nor disagree,10,9,Yes,Yes,3,7,4,7,No,No,NA,NA
Doncaster,Yes,Saturday,Convenient,More than 1 hour,2-3 times,Yes,4,8,8,7,7,Just right,Agree,2,4,No,Yes,0,4,8,9,No,No,NA,NA
Eastlands,Yes,Saturday,Convenient,Less than 1 hour,More than 6 times,NA,6,7,10,0,7,A little warm,Disagree,2,2,Yes,Yes,3,2,4,10,Yes,Yes,Dylan Carter,Dylan.Carter@optusnet.com.au
Hobart,No,Thursday,Very Convenient,Less than 1 hour,Once,Yes,1,6,5,5,0,Way too cold,Neither agree nor disagree,7,10,Yes,No,NA,NA,NA,8,Yes,Yes,Paisley Fisher,Paisley.Fisher@live.com.au
Airport West,No,Wednesday,Inconvient,Less than 10 minutes,Once,NA,2,8,7,8,2,Just right,Strongly disagree,1,3,No,No,NA,NA,NA,9,No,No,NA,NA
Coburg Drive-In,No,Sunday,Very Inconvenient,More than 1 hour,4-6 times,NA,4,1,0,2,6,Way too cold,Neither agree nor disagree,9,10,Yes,No,NA,NA,NA,0,No,No,NA,NA
Knox,Yes,Wednesday,Inconvient,Less than 10 minutes,Once,No,9,10,1,6,0,Way too hot,Disagree,2,6,No,No,NA,NA,NA,7,Yes,Yes,Kinsley Kelly,Kinsley.Kelly@msn.com
Plenty Valley,No,Monday,Inconvient,Less than 1 hour,2-3 times,No,8,3,4,2,1,A little cool,Disagree,5,2,No,No,NA,NA,NA,6,Yes,Yes,David Allen,David.Allen@bigpond.com
Knox,No,Monday,Indifferent,Less than 30 minutes,2-3 times,No,10,7,9,1,9,A little warm,Neither agree nor disagree,1,5,Yes,Yes,2,4,2,0,No,Yes,Dylan Stewart,Dylan.Stewart@bigpond.net.au
Rivoli,No,Tuesday,Convenient,Less than 10 minutes,2-3 times,Yes,8,0,8,9,2,Way too cold,Strongly agree,0,4,No,No,NA,NA,NA,9,No,Yes,Isaac Myers,Isaac.Myers@hotmail.com
Southland,Yes,Wednesday,Inconvient,Less than 1 hour,2-3 times,No,6,2,2,5,6,A little warm,Disagree,7,6,Yes,No,NA,NA,NA,2,Yes,No,NA,NA
Doncaster,Yes,Sunday,Indifferent,Less than 30 minutes,Once,No,8,9,1,1,5,Way too hot,Agree,8,7,No,Yes,4,3,6,0,Yes,Yes,Mateo Davis,Mateo.Davis@optusnet.com.au
Shepparton,No,Monday,Convenient,More than 1 hour,More than 6 times,NA,9,0,5,6,8,Way too cold,Disagree,1,0,Yes,Yes,9,6,0,3,No,No,NA,NA
Eastlands,Yes,Sunday,Very Inconvenient,More than 1 hour,4-6 times,NA,6,6,7,1,10,Way too cold,Disagree,10,9,No,Yes,4,10,10,9,No,Yes,Maidson Bennett,Maidson.Bennett@gmail.com
Century City,No,Saturday,Very Convenient,Less than 1 hour,More than 6 times,No,9,8,6,2,6,Just right,Strongly disagree,7,6,No,Yes,2,4,5,9,Yes,Yes,Jacob Morales,Jacob.Morales@optusnet.com.au
Shepparton,Yes,Wednesday,Convenient,More than 1 hour,Once,NA,5,6,9,5,8,A little cool,Neither agree nor disagree,4,1,No,Yes,8,6,1,8,Yes,No,NA,NA
Century City,No,Friday,Convenient,Less than 30 minutes,Once,No,10,1,2,3,0,A little warm,Neither agree nor disagree,4,9,Yes,Yes,10,7,9,3,No,No,NA,NA
Rivoli,Yes,Sunday,Inconvient,Less than 30 minutes,2-3 times,No,2,0,1,7,1,Way too hot,Disagree,4,3,Yes,No,NA,NA,NA,8,No,No,NA,NA
Airport West,Yes,Thursday,Very Inconvenient,Less than 30 minutes,4-6 times,NA,0,2,0,1,2,Just right,Disagree,4,10,Yes,No,NA,NA,NA,4,No,Yes,Nicholas Jenkins,Nicholas.Jenkins@mailinator.com
Hobart,Yes,Thursday,Inconvient,More than 1 hour,4-6 times,Yes,8,0,5,10,1,Way too cold,Strongly disagree,2,0,No,Yes,5,8,0,9,No,Yes,Nora Bell,Nora.Bell@mail.com
Werribee,Yes,Monday,Convenient,More than 1 hour,More than 6 times,Yes,5,4,9,1,6,A little cool,Agree,5,9,No,Yes,7,1,8,8,Yes,Yes,Isabelle Howard,Isabelle.Howard@gmail.com
Rosebud,No,Tuesday,Very Inconvenient,Less than 30 minutes,More than 6 times,NA,7,5,4,5,5,A little warm,Strongly disagree,7,6,No,Yes,5,5,7,9,Yes,Yes,Sophia Kelly,Sophia.Kelly@msn.com
Rivoli,No,Monday,Inconvient,Less than 1 hour,Once,Yes,4,5,4,10,5,A little cool,Disagree,1,1,No,Yes,5,4,9,5,No,No,NA,NA
Launceston,Yes,Wednesday,Inconvient,Less than 10 minutes,2-3 times,NA,10,1,4,5,2,A little cool,Strongly agree,8,7,Yes,No,NA,NA,NA,4,Yes,Yes,Jayce Watson,Jayce.Watson@live.com.au
Plenty Valley,Yes,Sunday,Convenient,Less than 1 hour,4-6 times,No,0,10,2,5,8,Way too hot,Agree,3,7,No,Yes,0,2,1,8,No,No,NA,NA
Launceston,No,Friday,Convenient,Less than 30 minutes,More than 6 times,NA,8,3,0,0,7,A little warm,Strongly disagree,6,8,No,No,NA,NA,NA,10,No,No,NA,NA
Coburg Drive-In,No,Friday,Very Inconvenient,More than 1 hour,Once,NA,8,1,7,10,5,A little cool,Agree,5,9,No,Yes,0,6,3,3,No,Yes,Muhammad Young,Muhammad.Young@yahoo.com.au
Werribee,Yes,Sunday,Convenient,Less than 10 minutes,4-6 times,No,3,4,10,8,1,Way too hot,Agree,10,10,No,No,NA,NA,NA,2,Yes,Yes,Penelope Jones,Penelope.Jones@outlook.com
Albury,No,Tuesday,Convenient,Less than 10 minutes,More than 6 times,No,2,3,7,5,6,Way too hot,Disagree,5,5,Yes,No,NA,NA,NA,1,Yes,Yes,Josiah Bailey,Josiah.Bailey@bigpond.net.au
Eastlands,Yes,Tuesday,Very Inconvenient,Less than 30 minutes,4-6 times,NA,6,6,4,3,0,Way too cold,Strongly agree,10,10,No,Yes,7,1,5,6,No,Yes,Mila Wang,Mila.Wang@msn.com
Launceston,No,Monday,Convenient,More than 1 hour,4-6 times,NA,8,7,0,10,1,A little cool,Strongly agree,3,9,No,No,NA,NA,NA,9,No,No,NA,NA
Rosebud,No,Tuesday,Very Inconvenient,Less than 1 hour,Once,NA,7,4,4,10,8,Just right,Agree,5,8,Yes,Yes,8,1,0,5,Yes,No,NA,NA
Shepparton,Yes,Saturday,Indifferent,Less than 10 minutes,2-3 times,NA,9,2,9,5,2,Just right,Disagree,9,8,Yes,Yes,4,5,5,6,No,No,NA,NA
Plenty Valley,Yes,Sunday,Indifferent,Less than 10 minutes,2-3 times,No,0,1,4,9,4,Way too cold,Neither agree nor disagree,3,3,Yes,No,NA,NA,NA,9,Yes,Yes,Nora Cox,Nora.Cox@mail.com
Century City,Yes,Wednesday,Convenient,Less than 10 minutes,4-6 times,No,9,5,8,5,1,Way too cold,Disagree,9,4,Yes,Yes,6,2,8,8,Yes,Yes,Ellie Ward,Ellie.Ward@mail.com
Launceston,Yes,Thursday,Indifferent,Less than 10 minutes,2-3 times,NA,4,6,10,7,4,A little cool,Strongly disagree,6,8,Yes,Yes,9,8,9,8,No,Yes,Carter Patel,Carter.Patel@live.com.au
Bendigo,Yes,Sunday,Very Convenient,More than 1 hour,Once,Yes,5,10,1,6,0,A little warm,Disagree,8,4,Yes,No,NA,NA,NA,9,Yes,No,NA,NA
Jam Factory,No,Sunday,Indifferent,Less than 10 minutes,More than 6 times,Yes,0,4,9,4,0,Way too cold,Neither agree nor disagree,3,3,Yes,Yes,2,9,3,7,No,Yes,Grayson Taylor,Grayson.Taylor@bigpond.net.au
Launceston,No,Saturday,Very Convenient,Less than 10 minutes,4-6 times,NA,6,3,0,7,4,Just right,Strongly agree,3,1,Yes,Yes,8,0,2,0,Yes,No,NA,NA
Sunshine,No,Wednesday,Inconvient,More than 1 hour,2-3 times,No,9,10,6,7,5,A little cool,Strongly agree,0,5,No,No,NA,NA,NA,0,Yes,Yes,Daniel Fisher,Daniel.Fisher@hotmail.com
Airport West,No,Sunday,Very Convenient,Less than 10 minutes,4-6 times,NA,1,9,6,8,4,Way too cold,Neither agree nor disagree,5,2,No,No,NA,NA,NA,3,No,No,NA,NA
Shepparton,Yes,Thursday,Very Convenient,More than 1 hour,4-6 times,NA,5,0,7,6,9,A little warm,Disagree,5,4,No,No,NA,NA,NA,10,No,Yes,Addison Jones,Addison.Jones@gmail.com
Karingal,No,Saturday,Inconvient,Less than 1 hour,2-3 times,Yes,10,6,10,3,7,A little warm,Neither agree nor disagree,3,1,Yes,Yes,0,2,6,7,No,Yes,Isabella Turner,Isabella.Turner@mail.com
Warnambool,Yes,Sunday,Very Inconvenient,Less than 30 minutes,2-3 times,NA,10,0,4,10,6,A little cool,Neither agree nor disagree,10,8,No,No,NA,NA,NA,8,Yes,Yes,Isabella Hill,Isabella.Hill@mailinator.com
Shepparton,Yes,Monday,Very Convenient,More than 1 hour,2-3 times,NA,9,9,2,0,7,Way too cold,Disagree,2,2,Yes,Yes,8,1,2,4,Yes,No,NA,NA
Shepparton,No,Sunday,Inconvient,More than 1 hour,More than 6 times,NA,3,2,1,8,5,Just right,Disagree,0,2,Yes,No,NA,NA,NA,9,Yes,Yes,Kinsley Cruz,Kinsley.Cruz@msn.com
Rivoli,Yes,Saturday,Very Inconvenient,Less than 1 hour,More than 6 times,Yes,3,4,10,4,0,Way too cold,Strongly disagree,4,8,Yes,Yes,9,10,3,7,Yes,No,NA,NA
Sunshine,Yes,Friday,Inconvient,Less than 1 hour,More than 6 times,Yes,9,4,5,8,8,Way too hot,Agree,5,8,No,No,NA,NA,NA,8,Yes,No,NA,NA
Airport West,Yes,Thursday,Very Inconvenient,Less than 1 hour,Once,NA,6,3,0,6,3,A little warm,Disagree,6,7,Yes,No,NA,NA,NA,5,Yes,Yes,Dylan Parker,Dylan.Parker@gmail.com
Sunshine,No,Sunday,Very Inconvenient,Less than 30 minutes,Once,No,5,4,2,7,10,A little warm,Agree,7,4,Yes,No,NA,NA,NA,1,No,Yes,Ethan Wilson,Ethan.Wilson@gmail.com
Crown,No,Thursday,Inconvient,More than 1 hour,More than 6 times,No,5,8,0,6,9,Just right,Strongly disagree,4,6,No,No,NA,NA,NA,5,Yes,No,NA,NA
Eastlands,Yes,Saturday,Inconvient,Less than 30 minutes,More than 6 times,NA,5,7,1,7,4,A little warm,Disagree,1,4,No,No,NA,NA,NA,8,No,Yes,Mia Garcia,Mia.Garcia@gmail.com
Century City,Yes,Tuesday,Inconvient,Less than 30 minutes,More than 6 times,No,7,3,9,8,0,Way too hot,Disagree,1,9,No,No,NA,NA,NA,0,No,No,NA,NA
Rosebud,No,Tuesday,Very Inconvenient,More than 1 hour,Once,NA,6,0,5,8,9,A little cool,Neither agree nor disagree,2,7,Yes,No,NA,NA,NA,10,Yes,Yes,Victoria Rogers,Victoria.Rogers@gmail.com
Crown,No,Saturday,Very Inconvenient,Less than 1 hour,Once,No,9,5,9,0,0,Just right,Disagree,9,3,Yes,No,NA,NA,NA,3,Yes,No,NA,NA
Coburg Drive-In,Yes,Thursday,Convenient,More than 1 hour,2-3 times,NA,0,4,6,8,3,A little cool,Strongly disagree,0,2,No,No,NA,NA,NA,8,No,No,NA,NA
Crown,Yes,Tuesday,Inconvient,Less than 1 hour,4-6 times,Yes,3,1,6,0,2,A little warm,Disagree,1,3,Yes,Yes,4,5,3,6,No,No,NA,NA
Jam Factory,No,Monday,Very Convenient,Less than 1 hour,2-3 times,No,5,7,9,5,8,Way too hot,Strongly disagree,5,8,No,Yes,0,3,9,9,Yes,Yes,Owen Nelson,Owen.Nelson@yahoo.com.au
Warnambool,Yes,Tuesday,Indifferent,Less than 1 hour,2-3 times,NA,2,1,9,9,2,Way too cold,Strongly agree,0,4,No,Yes,0,6,2,9,Yes,Yes,Lucas Flores,Lucas.Flores@hotmail.com
Rosebud,Yes,Wednesday,Very Convenient,Less than 30 minutes,4-6 times,NA,5,9,3,9,8,Way too cold,Strongly agree,6,3,No,Yes,5,8,9,3,No,Yes,Scarlett Butler,Scarlett.Butler@yahoo.com.au
Glenorchy,Yes,Monday,Very Inconvenient,More than 1 hour,Once,NA,7,3,3,9,7,Just right,Neither agree nor disagree,9,4,Yes,No,NA,NA,NA,0,Yes,No,NA,NA
Fountain Gate,No,Tuesday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,1,10,9,2,1,Just right,Strongly disagree,8,0,No,No,NA,NA,NA,1,No,No,NA,NA
Doncaster,No,Thursday,Indifferent,Less than 10 minutes,4-6 times,Yes,8,0,5,6,2,A little cool,Agree,0,9,No,Yes,10,2,9,4,No,No,NA,NA
Plenty Valley,Yes,Wednesday,Indifferent,Less than 30 minutes,Once,No,4,5,5,7,6,Just right,Strongly disagree,2,9,Yes,Yes,7,10,4,9,No,Yes,Charlotte Peterson,Charlotte.Peterson@live.com.au
Plenty Valley,No,Monday,Convenient,Less than 1 hour,Once,Yes,0,5,5,3,4,A little cool,Strongly agree,3,4,No,No,NA,NA,NA,9,Yes,No,NA,NA
Shepparton,Yes,Saturday,Very Inconvenient,Less than 30 minutes,4-6 times,NA,5,9,7,4,8,Just right,Strongly agree,5,3,Yes,Yes,9,8,0,1,No,Yes,Aubrey Hill,Aubrey.Hill@yahoo.com.au
Knox,Yes,Tuesday,Indifferent,Less than 10 minutes,2-3 times,No,5,8,2,3,3,Way too hot,Agree,0,5,Yes,No,NA,NA,NA,8,Yes,Yes,Adam Wood,Adam.Wood@bigpond.net.au
Morwell,No,Sunday,Indifferent,Less than 30 minutes,4-6 times,NA,7,8,7,1,0,A little cool,Strongly disagree,5,8,Yes,Yes,3,10,6,1,Yes,Yes,Michael Anderson,Michael.Anderson@yahoo.com.au
Plenty Valley,Yes,Tuesday,Very Inconvenient,More than 1 hour,Once,No,6,9,10,7,8,Way too hot,Strongly agree,0,0,Yes,Yes,3,7,2,0,Yes,No,NA,NA
Airport West,Yes,Sunday,Very Inconvenient,Less than 1 hour,4-6 times,NA,5,1,0,1,5,Way too cold,Strongly agree,1,0,No,Yes,8,8,8,3,Yes,Yes,Chloe Taylor,Chloe.Taylor@hotmail.com
Hobart,No,Thursday,Convenient,Less than 30 minutes,2-3 times,Yes,1,10,9,8,10,Way too cold,Strongly disagree,8,8,Yes,No,NA,NA,NA,3,No,Yes,Luke Myers,Luke.Myers@optusnet.com.au
Knox,No,Wednesday,Convenient,More than 1 hour,4-6 times,Yes,2,7,0,0,0,A little warm,Strongly agree,5,6,Yes,Yes,2,3,10,0,No,Yes,Madelyn Miller,Madelyn.Miller@mail.com
Albury,Yes,Saturday,Very Inconvenient,More than 1 hour,2-3 times,No,9,5,2,6,2,A little warm,Disagree,1,6,Yes,No,NA,NA,NA,4,No,No,NA,NA
Knox,Yes,Saturday,Inconvient,More than 1 hour,4-6 times,Yes,2,8,3,1,4,A little warm,Strongly disagree,10,0,Yes,Yes,1,9,9,5,Yes,No,NA,NA
Plenty Valley,Yes,Sunday,Very Inconvenient,Less than 1 hour,Once,No,0,1,2,1,3,A little cool,Agree,1,8,No,No,NA,NA,NA,1,No,Yes,Mason King,Mason.King@bigpond.net.au
Werribee,Yes,Wednesday,Very Inconvenient,More than 1 hour,4-6 times,No,6,2,4,7,1,Way too cold,Strongly disagree,1,8,Yes,No,NA,NA,NA,3,Yes,No,NA,NA
Sunshine,Yes,Thursday,Very Convenient,More than 1 hour,4-6 times,No,1,6,9,1,0,Way too hot,Neither agree nor disagree,5,1,No,Yes,2,1,3,9,No,Yes,Henry Foster,Henry.Foster@mailinator.com
Warragul,No,Wednesday,Convenient,Less than 1 hour,More than 6 times,NA,10,2,9,7,5,Way too hot,Strongly disagree,6,9,No,No,NA,NA,NA,3,Yes,Yes,Ethan Evans,Ethan.Evans@msn.com
Werribee,Yes,Sunday,Very Inconvenient,More than 1 hour,4-6 times,No,3,6,3,4,9,Way too hot,Agree,5,1,Yes,Yes,4,7,8,2,Yes,No,NA,NA
Glenorchy,No,Wednesday,Convenient,Less than 30 minutes,More than 6 times,NA,1,10,0,1,4,A little warm,Neither agree nor disagree,7,0,No,No,NA,NA,NA,10,Yes,No,NA,NA
Coburg Drive-In,No,Monday,Convenient,Less than 10 minutes,4-6 times,NA,5,7,2,0,2,Way too cold,Agree,10,5,Yes,Yes,8,9,3,10,No,No,NA,NA
Launceston,Yes,Saturday,Indifferent,More than 1 hour,Once,NA,1,9,6,3,5,Just right,Agree,1,5,Yes,Yes,9,4,6,10,No,Yes,Olivia Sullivan,Olivia.Sullivan@yahoo.com.au
Hobart,Yes,Monday,Very Convenient,Less than 1 hour,Once,Yes,2,9,5,4,4,A little warm,Neither agree nor disagree,4,7,Yes,Yes,10,9,4,1,Yes,Yes,Paisley Chen,Paisley.Chen@bigpond.net.au
Rosebud,No,Sunday,Inconvient,Less than 10 minutes,4-6 times,NA,6,1,2,4,3,A little warm,Disagree,2,9,Yes,No,NA,NA,NA,9,Yes,Yes,Grayson Roberts,Grayson.Roberts@yahoo.com.au
Glenorchy,Yes,Sunday,Inconvient,Less than 1 hour,More than 6 times,NA,4,7,8,0,9,Way too cold,Strongly agree,10,0,No,Yes,8,3,4,7,No,Yes,Jayden Kelly,Jayden.Kelly@mailinator.com
Jam Factory,Yes,Sunday,Convenient,Less than 30 minutes,4-6 times,No,4,3,2,3,3,A little warm,Neither agree nor disagree,8,7,No,Yes,1,7,7,10,No,Yes,James Robinson,James.Robinson@outlook.com
Southland,No,Wednesday,Very Convenient,More than 1 hour,More than 6 times,No,6,5,0,0,1,Way too hot,Agree,5,4,No,No,NA,NA,NA,0,No,Yes,Hannah Moore,Hannah.Moore@outlook.com
